sample_name,orgname,16scq,totsum,rspsum,mesocosm,type,stage,sex,date.collected,day,abdomen.length.mm,wing.length,hindleg.length,special,dispersal,temperature,infusion,Wolb_ct1,Wolb_ct2,Act_ct,notes
OL1_5_1_S18_L001,OL1.5_1,30.21332177,26699,26453,OL1.5,A.albopictus,Adult,M,8/24/19,9,2.18,2.65,7.69,,N,H,OL,24.95443153,25.24487877,23.28533745,
OL2_8_1_S61_L001,OL2.8_1,29.89840048,39463,38987,OL2.8,A.albopictus,Adult,M,8/24/19,9,2.23,2.39,7.25,,D,H,OL,22.14682961,22.1801033,23.97679329,
OL3_8_1_S99_L001,OL3.8_1,26.20109815,58399,58183,OL3.8,A.albopictus,Adult,F,8/24/19,9,2.56,2.38,7.63,,D,H,OL,20.68154526,20.64660072,24.46085167,
OL2_5_1_S45_L001,OL2.5_1,27.58748004,45697,44559,OL2.5,A.albopictus,Adult,M,8/25/19,10,2.56,2.41,6.83,,N,H,OL,23.51140594,23.33215523,22.76675034,
OL2_8_2_S62_L001,OL2.8_2,27.44247246,39720,39533,OL2.8,A.albopictus,Adult,M,8/25/19,10,2.82,2.25,6.37,,D,H,OL,20.4536953,20.52005386,23.17061996,
OL2_8_3_S63_L001,OL2.8_3,27.97992719,19078,18986,OL2.8,A.albopictus,Adult,F,8/25/19,10,2.77,2.24,7.14,,D,H,OL,20.84132385,20.41249084,23.04937172,
SG2_7_1_S132_L001,SG2.7_1,28.83747939,67240,66719,SG2.7,A.albopictus,Adult,M,8/25/19,10,2.91,2.19,6.07,,D,H,SG,24.1519413,24.31716156,24.59418488,
OL1_5_2_S19_L001,OL1.5_2,29.01150377,43710,43525,OL1.5,A.albopictus,Adult,M,8/26/19,11,2.31,2.6,7.32,,N,H,OL,24.75453377,24.7155056,23.88456726,
OL1_5_3_S20_L001,OL1.5_3,30.09089708,49584,48989,OL1.5,A.albopictus,Adult,M,8/26/19,11,2.4,2.48,6.92,,N,H,OL,26.58118629,25.8832016,24.10007477,
OL1_5_4_S21_L001,OL1.5_4,27.65503346,57151,57025,OL1.5,A.albopictus,Adult,M,8/26/19,11,2.51,2.69,7.41,,N,H,OL,24.10000229,23.5989666,23.86557961,
OL1_7_1_S26_L001,OL1.7_1,26.83936009,67819,67481,OL1.7,A.albopictus,Adult,F,8/26/19,11,2.29,2.71,7.8,,D,H,OL,20.13662529,20.33398819,23.03606987,
OL2_5_2_S46_L001,OL2.5_2,27.55639254,37611,37318,OL2.5,A.albopictus,Adult,M,8/26/19,11,2.7,2.3,6.38,,N,H,OL,25.2057972,25.03152084,22.76675034,
OL2_6_1_S48_L001,OL2.6_1,27.16537929,40723,40574,OL2.6,A.albopictus,Adult,F,8/26/19,11,2.51,2.34,8.01,,N,H,OL,20.86472511,20.58048248,23.16298676,
OL2_6_2_S49_L001,OL2.6_2,28.24677196,44274,44085,OL2.6,A.albopictus,Adult,F,8/26/19,11,2.53,2.29,6.94,,N,H,OL,20.88964653,20.95249176,22.88038254,
OL2_7_1_S54_L001,OL2.7_1,27.28814086,32615,32585,OL2.7,A.albopictus,Adult,F,8/26/19,11,2.41,2.35,7.41,,D,H,OL,23.90813065,24.20987511,22.46909523,
OL2_7_2_S55_L001,OL2.7_2,27.23841515,32024,31909,OL2.7,A.albopictus,Adult,F,8/26/19,11,2.61,2.41,7.42,,D,H,OL,24.28785324,23.90933037,23.03100204,
OL2_8_4_S64_L001,OL2.8_4,27.45738933,31727,31460,OL2.8,A.albopictus,Adult,F,8/26/19,11,2.53,2.41,7.52,,D,H,OL,24.96729469,24.26771927,22.72518158,
OL2_8_5_S65_L001,OL2.8_5,30.36599752,39690,39008,OL2.8,A.albopictus,Adult,M,8/26/19,11,2.49,2.36,7.91,,D,H,OL,25.04980659,25.3310585,21.98945618,
OL3_6_1_S90_L001,OL3.6_1,28.89624652,39741,39472,OL3.6,A.albopictus,Adult,M,8/26/19,11,2.41,2.61,7.53,,N,H,OL,24.36488152,24.56052589,23.25573158,
OL3_6_2_S91_L001,OL3.6_2,27.5146122,51781,51633,OL3.6,A.albopictus,Adult,F,8/26/19,11,2.3,2.92,6.71,,N,H,OL,23.38265038,23.76054382,23.16804886,
OL3_6_3_S92_L001,OL3.6_3,28.38029756,38333,38031,OL3.6,A.albopictus,Adult,F,8/26/19,11,2.14,2.64,6.35,,N,H,OL,26.02344131,25.59441185,23.47595215,
OL3_8_2_S100_L001,OL3.8_2,26.73022256,73368,73170,OL3.8,A.albopictus,Adult,F,8/26/19,11,2.61,2.41,7.81,,D,H,OL,20.93550682,21.00998878,25.66957474,
SG2_6_1_S128_L001,SG2.6_1,28.24039213,43587,43416,SG2.6,A.albopictus,Adult,M,8/26/19,11,2.8,2.1,7,,N,H,SG,24.30522728,24.46644783,23.89948654,
OL1_6_1_S22_L001,OL1.6_1,27.53781747,36187,35963,OL1.6,A.albopictus,Adult,F,8/27/19,12,2.8,2.28,6.91,,N,H,OL,24.61274338,24.51101875,23.64982986,
OL1_8_1_S29_L001,OL1.8_1,29.29926453,43508,43195,OL1.8,A.albopictus,Adult,M,8/27/19,12,2.57,2.33,5.83,,D,H,OL,24.62662315,24.34645462,22.28561783,
OL2_6_3_S50_L001,OL2.6_3,23.3574178,60309,59908,OL2.6,A.albopictus,Adult,F,8/27/19,12,2.41,2.42,6.82,,N,H,OL,22.01608658,21.9900856,23.08376503,
OL2_7_4_S57_L001,OL2.7_4,28.94790904,40415,39279,OL2.7,A.albopictus,Adult,M,8/27/19,12,2.18,2.17,5.98,,D,H,OL,24.94829941,24.68060684,23.17082024,
OL2_7_5_S58_L001,OL2.7_5,26.58711782,18107,18047,OL2.7,A.albopictus,Adult,M,8/27/19,12,2.53,1.97,6.46,,D,H,OL,23.12162781,22.93842125,23.85005188,
OL2_7_6_S59_L001,OL2.7_6,26.53720181,17404,17357,OL2.7,A.albopictus,Adult,F,8/27/19,12,3.06,2.87,7.94,,D,H,OL,24.00279808,24.3485508,24.60417747,
OL2_8_6_S66_L001,OL2.8_6,28.65037662,23961,23831,OL2.8,A.albopictus,Adult,M,8/27/19,12,2.69,2.61,6.13,,D,H,OL,24.29928398,23.81716156,22.57346344,
OL2_8_7_S67_L001,OL2.8_7,26.20592444,44165,44141,OL2.8,A.albopictus,Adult,F,8/27/19,12,2.44,2.8,6.12,,D,H,OL,21.88799286,21.76529121,22.36457443,
OL3_5_1_S88_L001,OL3.5_1,27.06290798,38727,38602,OL3.5,A.albopictus,Adult,F,8/27/19,12,2.82,2.61,6.89,,N,H,OL,24.36491013,24.46465683,22.42519569,
OL3_7_1_S96_L001,OL3.7_1,27.15975863,51648,51342,OL3.7,A.albopictus,Adult,M,8/27/19,12,2.63,2.39,6.31,,D,H,OL,24.79702187,24.31543541,24.7146225,
OL3_7_2_S97_L001,OL3.7_2,27.16550081,43587,43188,OL3.7,A.albopictus,Adult,F,8/27/19,12,2.88,2.39,7.71,,D,H,OL,23.26000595,23.84420395,24.62101936,
SG2_5_1_S122_L001,SG2.5_1,26.4012766,54392,54251,SG2.5,A.albopictus,Adult,F,8/27/19,12,2.93,2.99,6.88,,N,H,SG,19.80718231,20.33672523,23.59868431,
SG2_5_2_S123_L001,SG2.5_2,27.13147069,40048,39876,SG2.5,A.albopictus,Adult,M,8/27/19,12,2.73,2.78,6.56,,N,H,SG,20.33911705,19.78963089,24.16260338,
