OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,Pool_name,longer_name
Otu0001,5870503,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,wAlbB,Otu0001_wAlbB
Otu0002,3277494,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,KOSA1,Otu0002_KOSA1
Otu0003,1285257,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,STEN1,Otu0003_STEN1
Otu0004,1208892,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,wAlbA,Otu0004_wAlbA
Otu0005,509503,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,CHRY1,Otu0005_CHRY1
Otu0006,379065,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,ENTE1/2,Otu0006_ENTE1/2
Otu0007,316714,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,ASAI1/2,Otu0007_ASAI1/2
Otu0008,205122,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,KOSA2,Otu0008_KOSA2
Otu0009,180028,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,KLEB1,Otu0009_KLEB1
Otu0010,176652,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,PSEU2,Otu0010_PSEU2
Otu0014,105495,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,PANT1/2/3,Otu0014_PANT1/2/3
Otu0016,87849,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0016_Pool_Enterobacteriaceae
Otu0020,66307,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,STEN2,Otu0020_STEN2
Otu0021,62241,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,PANT4,Otu0021_PANT4
Otu0022,62192,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,CARN1,Otu0022_CARN1
Otu0023,47067,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Kosakonia,,Otu0023
Otu0024,46307,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Asaia,ASAI3,Otu0024_ASAI3
Otu0026,40210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Otu0026
Otu0031,28280,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,,Otu0031
Otu0036,16318,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Pool_Gammaproteobacteria,Otu0036_Pool_Gammaproteobacteria
Otu0037,15982,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Otu0037
Otu0038,14621,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0038_Pool_Enterobacteriaceae
Otu0043,11172,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Mangrovibacter,,Otu0043
Otu0044,10651,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,,Otu0044
Otu0049,8600,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,,Otu0049
Otu0051,8033,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Otu0051
Otu0052,7514,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,,Otu0052
Otu0053,7189,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,PSEU1/3,Otu0053_PSEU1/3
Otu0054,7164,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,,Otu0054
Otu0055,7094,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Otu0055
Otu0056,6836,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Mangrovibacter,Pool_Mangrovibacter,Otu0056_Pool_Mangrovibacter
Otu0057,6503,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Otu0057
Otu0058,6493,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_unclassified,Bacillales_unclassified,BACI1,Otu0058_BACI1
Otu0060,6176,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Otu0060
Otu0061,6168,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,Otu0061
Otu0063,5648,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,,Otu0063
Otu0066,5220,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,,Otu0066
Otu0067,5129,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,Otu0067
Otu0068,5106,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,,Otu0068
Otu0069,4885,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter,,Otu0069
Otu0070,4830,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0070_Pool_Enterobacteriaceae
Otu0072,4621,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,,Otu0072
Otu0073,4572,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Otu0073
Otu0074,4338,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,,Otu0074
Otu0076,4136,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Otu0076
Otu0077,4049,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,,Otu0077
Otu0078,3957,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,,Otu0078
Otu0079,3883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0079_Pool_Enterobacteriaceae
Otu0080,3779,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0080_Pool_Enterobacteriaceae
Otu0081,3702,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,Otu0081
Otu0084,3563,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Mangrovibacter,,Otu0084
Otu0085,3483,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,,Otu0085
Otu0086,3330,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,,Otu0086
Otu0087,3240,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,Otu0087
Otu0088,3159,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,,Otu0088
Otu0091,3029,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,,Otu0091
Otu0092,2974,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae_unclassified,Pool_Enterobacteriaceae,Otu0092_Pool_Enterobacteriaceae
Otu0094,2485,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,,Otu0094
Otu0095,2465,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,Otu0095
Otu0096,2462,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Otu0096
Otu0097,2408,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,Otu0097
Otu0104,1973,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,Otu0104
Otu0109,1751,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,Otu0109
Otu0112,1611,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_unclassified,,Otu0112
Otu0113,1569,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,Otu0113
Otu0115,1536,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,Otu0115
Otu0116,1491,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,Otu0116
