"","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","even","lib_size_clean"
"1","M_D13_OL1_1_S216_L001",25,1.62963158381758,2.6693675825205,"M_D13_OL1.1",NA,25797,23466,"OL1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",25797,FALSE,0.506273516743786,25797
"2","M_D13_OL1_2_S217_L001",29,1.52887280528023,2.39737636235087,"M_D13_OL1.2",NA,34139,31716,"OL1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",34139,FALSE,0.454035784936177,34139
"3","M_D13_OL1_3_S218_L001",22,1.57809936391465,2.44009843912794,"M_D13_OL1.3",NA,15861,14492,"OL1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",15861,FALSE,0.510539530830478,15861
"4","M_D13_OL1_4_S219_L001",29,1.53436712361697,2.32556149553397,"M_D13_OL1.4",NA,49298,45548,"OL1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",49298,FALSE,0.455667455752806,49298
"5","M_D13_OL1_6_S221_L001",33,1.7582676049311,2.93177551257003,"M_D13_OL1.6",NA,44559,39491,"OL1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",44559,FALSE,0.502863950391019,44559
"6","M_D13_OL1_7_S222_L001",32,1.84008373671508,3.25078122987181,"M_D13_OL1.7",NA,32248,29021,"OL1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",32248,FALSE,0.530935936355857,32248
"7","M_D13_OL1_8_S223_L001",28,1.75888847162638,3.09985951649296,"M_D13_OL1.8",NA,32456,29261,"OL1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",32456,FALSE,0.527845294685678,32456
"8","M_D13_OL2_1_S224_L001",31,1.73165614230067,2.88476516015299,"M_D13_OL2.1",NA,39229,35577,"OL2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",39229,FALSE,0.504269829555261,39229
"9","M_D13_OL2_2_S225_L001",27,1.50707552359914,2.20854076649414,"M_D13_OL2.2",NA,31583,29041,"OL2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",31583,FALSE,0.457266419689704,31583
"10","M_D13_OL2_3_S226_L001",21,1.44080553550414,2.16677630146716,"M_D13_OL2.3",NA,23414,21719,"OL2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",23414,FALSE,0.473245168980104,23414
"11","M_D13_OL2_4_S227_L001",25,1.62170127899237,2.51466781929335,"M_D13_OL2.4",NA,36063,33143,"OL2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",36063,FALSE,0.503809829028982,36063
"12","M_D13_OL2_5_S228_L001",24,1.72439108599792,2.72362130720169,"M_D13_OL2.5",NA,21732,19188,"OL2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",21732,FALSE,0.542593416615956,21732
"13","M_D13_OL2_6_S229_L001",31,1.89056035667304,3.2066568802674,"M_D13_OL2.6",NA,29456,25651,"OL2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",29456,FALSE,0.550543797659983,29456
"14","M_D13_OL2_7_S230_L001",25,1.86196450273076,3.79486224488347,"M_D13_OL2.7",NA,28640,24118,"OL2.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",28640,FALSE,0.578451796228269,28640
"15","M_D13_OL2_8_S231_L001",27,1.9569749953277,3.9569687420498,"M_D13_OL2.8",NA,30425,26427,"OL2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",30425,FALSE,0.593771802091714,30425
"16","M_D13_OL3_1_S232_L001",31,1.78242632078808,2.83888467602796,"M_D13_OL3.1",NA,25558,22609,"OL3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",25558,FALSE,0.519054444483673,25558
"17","M_D13_OL3_2_S233_L001",32,1.75412461145301,2.76551356613967,"M_D13_OL3.2",NA,33057,28708,"OL3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",33057,FALSE,0.506133375608906,33057
"18","M_D13_OL3_3_S234_L001",29,1.85077117903387,3.180905971722,"M_D13_OL3.3",NA,34293,29510,"OL3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",34293,FALSE,0.549631298370748,34293
"19","M_D13_OL3_4_S235_L001",30,1.82712431222622,3.04029917513524,"M_D13_OL3.4",NA,33407,28879,"OL3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",33407,FALSE,0.537200317181625,33407
"20","M_D13_OL3_5_S236_L001",26,1.84265977465771,3.12899470093098,"M_D13_OL3.5",NA,22708,19029,"OL3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",22708,FALSE,0.565563283086968,22708
"21","M_D13_OL3_6_S237_L001",30,1.89840449748921,3.35692656542968,"M_D13_OL3.6",NA,40936,34119,"OL3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",40936,FALSE,0.558157696970078,40936
"22","M_D13_OL3_7_S238_L001",26,1.79865485848781,3.1520797018342,"M_D13_OL3.7",NA,26852,22507,"OL3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",26852,FALSE,0.552056956415437,26852
"23","M_D13_OL3_8_S239_L001",26,1.94683145038554,3.59845846322312,"M_D13_OL3.8",NA,19802,15641,"OL3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",19802,FALSE,0.597536453467943,19802
"24","M_D13_SG1_1_S240_L001",19,0.999601772905109,1.57554232577346,"M_D13_SG1.1",NA,16235,15460,"SG1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",16235,FALSE,0.339488024706184,16235
"25","M_D13_SG1_2_S241_L001",22,1.28564056331499,1.91339920561973,"M_D13_SG1.2",NA,13962,12998,"SG1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",13962,FALSE,0.415924589427163,13962
"26","M_D13_SG1_3_S242_L001",26,1.34355536463342,1.96210775393824,"M_D13_SG1.3",NA,25161,23558,"SG1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",25161,FALSE,0.412374326222179,25161
"27","M_D13_SG1_4_S243_L001",22,1.1684397292187,1.74542318982849,"M_D13_SG1.4",NA,17796,16776,"SG1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",17796,FALSE,0.3780083084751,17796
"28","M_D13_SG1_5_S244_L001",23,1.40116097599575,2.00720262771034,"M_D13_SG1.5",NA,16366,14783,"SG1.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",16366,FALSE,0.446870853365789,16366
"29","M_D13_SG1_6_S245_L001",24,1.44173091517189,2.12089887790372,"M_D13_SG1.6",NA,29384,27157,"SG1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",29384,FALSE,0.453652138111847,29384
"30","M_D13_SG1_7_S246_L001",23,1.23914433000732,1.78450262045769,"M_D13_SG1.7",NA,20666,19088,"SG1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",20666,FALSE,0.395199048275113,20666
"31","M_D13_SG1_8_S247_L001",26,1.26782830491988,1.85608278347385,"M_D13_SG1.8",NA,27823,24451,"SG1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",27823,FALSE,0.389131595741415,27823
"32","M_D13_SG2_1_S248_L001",17,1.00298745793472,1.59025260167967,"M_D13_SG2.1",NA,18245,17574,"SG2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",18245,FALSE,0.354010565437607,18245
"33","M_D13_SG2_2_S249_L001",21,0.85804255952607,1.4490055068138,"M_D13_SG2.2",NA,22164,21521,"SG2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",22164,FALSE,0.281831576898373,22164
"34","M_D13_SG2_3_S250_L001",21,0.874484063457755,1.45263301035276,"M_D13_SG2.3",NA,25354,24502,"SG2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",25354,FALSE,0.287231932542977,25354
"35","M_D13_SG2_4_S251_L001",18,0.915460884805749,1.50999442926758,"M_D13_SG2.4",NA,18306,17703,"SG2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",18306,FALSE,0.316727729678653,18306
"36","M_D13_SG2_5_S252_L001",16,1.18125454184464,2.04796572938637,"M_D13_SG2.5",NA,13094,12760,"SG2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",13094,FALSE,0.426047517386708,13094
"37","M_D13_SG2_6_S253_L001",20,0.772671277805167,1.35909515638278,"M_D13_SG2.6",NA,11982,11604,"SG2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",11982,FALSE,0.257924008973107,11982
"38","M_D13_SG2_8_S255_L001",24,1.06279128231006,1.66270880541809,"M_D13_SG2.8",NA,16851,16197,"SG2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",16851,FALSE,0.334415758525305,16851
"39","M_D13_SG3_1_S256_L001",22,1.02503563138689,1.60812960387419,"M_D13_SG3.1",NA,17195,16138,"SG3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",17195,FALSE,0.331614866781664,17195
"40","M_D13_SG3_2_S257_L001",26,1.23847636223928,1.82374586060114,"M_D13_SG3.2",NA,28723,26812,"SG3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",28723,FALSE,0.380122672175747,28723
"41","M_D13_SG3_3_S258_L001",24,1.11589438475224,1.69024766512726,"M_D13_SG3.3",NA,22766,21322,"SG3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",22766,FALSE,0.351125073495078,22766
"42","M_D13_SG3_4_S259_L001",28,1.24745065519494,1.84922186125139,"M_D13_SG3.4",NA,36290,33899,"SG3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",36290,FALSE,0.374361973097909,36286
"43","M_D13_SG3_5_S260_L001",21,1.36050949995931,2.02324150228664,"M_D13_SG3.5",NA,21734,19834,"SG3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",21734,FALSE,0.446871234418178,21734
"44","M_D13_SG3_6_S261_L001",22,1.30363390685724,1.94805336238745,"M_D13_SG3.6",NA,22536,20835,"SG3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",22536,FALSE,0.421745714116896,22536
"45","M_D13_SG3_7_S262_L001",21,1.16904628405341,1.73814754995311,"M_D13_SG3.7",NA,17221,15978,"SG3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",17221,FALSE,0.383983468004124,17221
"46","M_D13_SG3_8_S263_L001",21,1.04098014158238,1.58327496117382,"M_D13_SG3.8",NA,15309,14265,"SG3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",15309,FALSE,0.341919024371122,15309
"47","M_D13_SW1_1_S264_L001",15,1.57197741462388,3.29601765411066,"M_D13_SW1.1",NA,18733,17179,"SW1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",18733,FALSE,0.580483114376562,18733
"48","M_D13_SW1_2_S265_L001",18,1.65453843559931,3.63669241540518,"M_D13_SW1.2",NA,15053,13836,"SW1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",15053,FALSE,0.572431013788902,15053
"49","M_D13_SW1_3_S266_L001",20,1.590448243025,3.25083781884225,"M_D13_SW1.3",NA,25973,23773,"SW1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",25973,FALSE,0.53090466630323,25973
"50","M_D13_SW1_4_S267_L001",19,1.46391031142556,2.89514882639757,"M_D13_SW1.4",NA,22678,21316,"SW1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SW",NA,NA,NA,"","early",22678,FALSE,0.497178009727335,22678
"51","M_D13_SW1_5_S268_L001",23,1.67217788609477,3.85319712946983,"M_D13_SW1.5",NA,38842,36533,"SW1.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",38842,FALSE,0.5333060024795,38842
"52","M_D13_SW1_6_S269_L001",22,1.67093936623116,3.80590245877339,"M_D13_SW1.6",NA,40625,38032,"SW1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SW",NA,NA,NA,"","early",40625,FALSE,0.540574706250231,40625
"53","M_D13_SW1_7_S270_L001",19,1.70538440458886,3.90283495632472,"M_D13_SW1.7",NA,21656,19863,"SW1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",21656,FALSE,0.579188231325361,21656
"54","M_D13_SW1_8_S271_L001",18,1.58870130299383,3.49440432209815,"M_D13_SW1.8",NA,26330,24660,"SW1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SW",NA,NA,NA,"","early",26330,FALSE,0.549652929127087,26330
"55","M_D13_SW2_1_S461_L001",18,1.57243991924743,3.22529111177324,"M_D13_SW2.1",NA,30490,28104,"SW2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SW",NA,NA,NA,"","early",30490,FALSE,0.544026876456879,30490
