"","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","even","lib_size_clean"
"1","M_D13_OL1_1_S216_L001",25,1.63720551357281,2.69319917569777,"M_D13_OL1.1",NA,25797,23466,"OL1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",25797,FALSE,0.508626490318197,9200
"2","M_D13_OL1_2_S217_L001",29,1.51120717830434,2.35294143811202,"M_D13_OL1.2",NA,34139,31716,"OL1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",34139,FALSE,0.448789549420257,9200
"3","M_D13_OL1_3_S218_L001",22,1.56392127294083,2.41245102915378,"M_D13_OL1.3",NA,15861,14492,"OL1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",15861,FALSE,0.505952699304302,9200
"4","M_D13_OL1_4_S219_L001",28,1.52174574736934,2.3083796691097,"M_D13_OL1.4",NA,49298,45548,"OL1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",49298,FALSE,0.456678376949116,9200
"5","M_D13_OL1_6_S221_L001",33,1.74545078676407,2.9022143717354,"M_D13_OL1.6",NA,44559,39491,"OL1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",44559,FALSE,0.499198344656804,9200
"6","M_D13_OL1_7_S222_L001",31,1.81802743123138,3.20520588449141,"M_D13_OL1.7",NA,32248,29021,"OL1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",32248,FALSE,0.529421725525608,9200
"7","M_D13_OL1_8_S223_L001",28,1.77952496140826,3.15295434504228,"M_D13_OL1.8",NA,32456,29261,"OL1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",32456,FALSE,0.534038338875754,9200
"8","M_D13_OL2_1_S224_L001",30,1.75534837647812,2.97460250362846,"M_D13_OL2.1",NA,39229,35577,"OL2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",39229,FALSE,0.516097179758584,9200
"9","M_D13_OL2_2_S225_L001",27,1.50375673409135,2.19629101873184,"M_D13_OL2.2",NA,31583,29041,"OL2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",31583,FALSE,0.45625945555807,9200
"10","M_D13_OL2_3_S226_L001",21,1.43837046889094,2.1691106748743,"M_D13_OL2.3",NA,23414,21719,"OL2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",23414,FALSE,0.472445350071552,9200
"11","M_D13_OL2_4_S227_L001",25,1.6156089238932,2.50914143903412,"M_D13_OL2.4",NA,36063,33143,"OL2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",36063,FALSE,0.501917132500554,9200
"12","M_D13_OL2_5_S228_L001",24,1.72545200269182,2.74326797372063,"M_D13_OL2.5",NA,21732,19188,"OL2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",21732,FALSE,0.542927242520278,9200
"13","M_D13_OL2_6_S229_L001",31,1.90245793446269,3.24481600007115,"M_D13_OL2.6",NA,29456,25651,"OL2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",29456,FALSE,0.554008451743174,9200
"14","M_D13_OL2_7_S230_L001",25,1.82504329565061,3.63392779938452,"M_D13_OL2.7",NA,28640,24118,"OL2.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",28640,FALSE,0.566981578335765,9200
"15","M_D13_OL2_8_S231_L001",27,1.96055804639676,3.9761218474648,"M_D13_OL2.8",NA,30425,26427,"OL2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",30425,FALSE,0.594858946636405,9200
"16","M_D13_OL3_1_S232_L001",30,1.81269816311356,2.89632834946309,"M_D13_OL3.1",NA,25558,22609,"OL3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",25558,FALSE,0.532958825879049,9200
"17","M_D13_OL3_2_S233_L001",32,1.7330706750139,2.69855088710078,"M_D13_OL3.2",NA,33057,28708,"OL3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","OL",NA,NA,NA,"","early",33057,FALSE,0.500058493670528,9200
"18","M_D13_OL3_3_S234_L001",29,1.84833548745434,3.18648568652766,"M_D13_OL3.3",NA,34293,29510,"OL3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",34293,FALSE,0.548907960801819,9200
"19","M_D13_OL3_4_S235_L001",30,1.81722479461389,2.98391723606346,"M_D13_OL3.4",NA,33407,28879,"OL3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","OL",NA,NA,NA,"","early",33407,FALSE,0.534289719382829,9200
"20","M_D13_OL3_5_S236_L001",26,1.83944696196719,3.13375398105975,"M_D13_OL3.5",NA,22708,19029,"OL3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",22708,FALSE,0.56457718195306,9200
"21","M_D13_OL3_6_S237_L001",29,1.90997993725486,3.41150918411001,"M_D13_OL3.6",NA,40936,34119,"OL3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","OL",NA,NA,NA,"","early",40936,FALSE,0.56721477223536,9200
"22","M_D13_OL3_7_S238_L001",26,1.79133920666024,3.09781519848746,"M_D13_OL3.7",NA,26852,22507,"OL3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",26852,FALSE,0.54981158039843,9200
"23","M_D13_OL3_8_S239_L001",26,1.96341368222862,3.67016427887733,"M_D13_OL3.8",NA,19802,15641,"OL3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",19802,FALSE,0.602625999357564,9200
"24","M_D13_SG1_1_S240_L001",19,0.985773600925942,1.55998390621518,"M_D13_SG1.1",NA,16235,15460,"SG1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",16235,FALSE,0.334791655694291,9200
"25","M_D13_SG1_2_S241_L001",22,1.29746325646651,1.9232974261763,"M_D13_SG1.2",NA,13962,12998,"SG1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",13962,FALSE,0.419749413359516,9200
"26","M_D13_SG1_3_S242_L001",26,1.34589172998737,1.9648208848946,"M_D13_SG1.3",NA,25161,23558,"SG1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",25161,FALSE,0.413091421411559,9200
"27","M_D13_SG1_4_S243_L001",22,1.16339774019452,1.73995236099242,"M_D13_SG1.4",NA,17796,16776,"SG1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",17796,FALSE,0.376377147111173,9200
