"","Row.names","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","lib_size_clean","even","lib_size_trim","PD","SR"
"1","M_D13_OL1_1_S216_L001","M_D13_OL1_1_S216_L001",25,1.62963158381758,2.6693675825205,"M_D13_OL1.1",NA,25797,23466,"OL1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",25797,FALSE,25797,0.506273516743786,25797,4.10881816616425,25
"2","M_D13_OL1_2_S217_L001","M_D13_OL1_2_S217_L001",28,1.52765703628839,2.3966742972516,"M_D13_OL1.2",NA,34139,31716,"OL1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",34139,FALSE,34139,0.458452364380261,34134,4.05168539123222,28
"3","M_D13_OL1_3_S218_L001","M_D13_OL1_3_S218_L001",22,1.57809936391465,2.44009843912794,"M_D13_OL1.3",NA,15861,14492,"OL1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",15861,FALSE,15861,0.510539530830479,15861,3.99127881902069,22
"4","M_D13_OL1_4_S219_L001","M_D13_OL1_4_S219_L001",28,1.53303756403371,2.32480692240767,"M_D13_OL1.4",NA,49298,45548,"OL1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",49298,FALSE,49298,0.460067069518822,49290,4.38009668545006,28
"5","M_D13_OL1_6_S221_L001","M_D13_OL1_6_S221_L001",31,1.75271498071171,2.92717439935234,"M_D13_OL1.6",NA,44559,39491,"OL1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","early",44559,FALSE,44559,0.510402303893992,44524,4.17593154012495,31
"6","M_D13_OL1_7_S222_L001","M_D13_OL1_7_S222_L001",31,1.83907210401628,3.24997499707927,"M_D13_OL1.7",NA,32248,29021,"OL1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",32248,FALSE,32248,0.535550074739435,32244,4.4353369060525,31
"7","M_D13_OL1_8_S223_L001","M_D13_OL1_8_S223_L001",28,1.75888847162638,3.09985951649296,"M_D13_OL1.8",NA,32456,29261,"OL1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",32456,FALSE,32456,0.527845294685678,32456,4.3298977438574,28
"8","M_D13_OL2_1_S224_L001","M_D13_OL2_1_S224_L001",29,1.72956128661533,2.88329489774212,"M_D13_OL2.1",NA,39229,35577,"OL2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",39229,FALSE,39229,0.513635087007571,39219,4.26123306762198,29
"9","M_D13_OL2_2_S225_L001","M_D13_OL2_2_S225_L001",27,1.50707552359914,2.20854076649414,"M_D13_OL2.2",NA,31583,29041,"OL2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",31583,FALSE,31583,0.457266419689704,31583,4.05850359723765,27
"10","M_D13_OL2_3_S226_L001","M_D13_OL2_3_S226_L001",21,1.44080553550414,2.16677630146716,"M_D13_OL2.3",NA,23414,21719,"OL2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",23414,FALSE,23414,0.473245168980104,23414,3.96595013641855,21
"11","M_D13_OL2_4_S227_L001","M_D13_OL2_4_S227_L001",25,1.62170127899237,2.51466781929335,"M_D13_OL2.4",NA,36063,33143,"OL2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",36063,FALSE,36063,0.503809829028982,36063,4.07631489028948,25
"12","M_D13_OL2_5_S228_L001","M_D13_OL2_5_S228_L001",24,1.72439108599792,2.72362130720169,"M_D13_OL2.5",NA,21732,19188,"OL2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","early",21732,FALSE,21732,0.542593416615956,21732,4.02107469968704,24
"13","M_D13_OL2_6_S229_L001","M_D13_OL2_6_S229_L001",31,1.89056035667304,3.2066568802674,"M_D13_OL2.6",NA,29456,25651,"OL2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","early",29456,FALSE,29456,0.550543797659983,29456,4.19374285317678,31
"14","M_D13_OL2_7_S230_L001","M_D13_OL2_7_S230_L001",25,1.86196450273076,3.79486224488347,"M_D13_OL2.7",NA,28640,24118,"OL2.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",28640,FALSE,28640,0.578451796228269,28640,4.54322823090102,25
"15","M_D13_OL2_8_S231_L001","M_D13_OL2_8_S231_L001",27,1.9569749953277,3.9569687420498,"M_D13_OL2.8",NA,30425,26427,"OL2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",30425,FALSE,30425,0.593771802091714,30425,4.35637450337822,27
"16","M_D13_OL3_1_S232_L001","M_D13_OL3_1_S232_L001",28,1.77955046846764,2.83688606391611,"M_D13_OL3.1",NA,25558,22609,"OL3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",25558,FALSE,25558,0.534045993585811,25549,4.48941984159874,28
"17","M_D13_OL3_2_S233_L001","M_D13_OL3_2_S233_L001",28,1.74138622738881,2.75466173740724,"M_D13_OL3.2",NA,33057,28708,"OL3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","OL",NA,NA,NA,"","early",33057,FALSE,33057,0.522592842687573,32992,4.31625106109033,28
"18","M_D13_OL3_3_S234_L001","M_D13_OL3_3_S234_L001",29,1.85077117903387,3.180905971722,"M_D13_OL3.3",NA,34293,29510,"OL3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",34293,FALSE,34293,0.549631298370748,34293,4.31625107109033,29
"19","M_D13_OL3_4_S235_L001","M_D13_OL3_4_S235_L001",29,1.82403324774054,3.0375714145207,"M_D13_OL3.4",NA,33407,28879,"OL3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","OL",NA,NA,NA,"","early",33407,FALSE,33407,0.541690822498321,33392,4.34008889049612,29
"20","M_D13_OL3_5_S236_L001","M_D13_OL3_5_S236_L001",26,1.84265977465771,3.12899470093098,"M_D13_OL3.5",NA,22708,19029,"OL3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","early",22708,FALSE,22708,0.565563283086968,22708,4.1445316049376,26
"21","M_D13_OL3_6_S237_L001","M_D13_OL3_6_S237_L001",28,1.89595956587919,3.35479552562953,"M_D13_OL3.6",NA,40936,34119,"OL3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","OL",NA,NA,NA,"","early",40936,FALSE,40936,0.568980553291282,40923,4.1325403682361,28
"22","M_D13_OL3_7_S238_L001","M_D13_OL3_7_S238_L001",25,1.79556351246854,3.14926502230537,"M_D13_OL3.7",NA,26852,22507,"OL3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",26852,FALSE,26852,0.557823168758632,26840,4.26863102690101,25
"23","M_D13_OL3_8_S239_L001","M_D13_OL3_8_S239_L001",25,1.94263929422808,3.59374081643948,"M_D13_OL3.8",NA,19802,15641,"OL3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","OL",NA,NA,NA,"","early",19802,FALSE,19802,0.603514829376067,19789,4.35023232969033,25
"24","M_D13_SG1_1_S240_L001","M_D13_SG1_1_S240_L001",18,0.994268569478733,1.57321543596202,"M_D13_SG1.1",NA,16235,15460,"SG1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",16235,FALSE,16235,0.343993317386424,16223,3.76634539087418,18
"25","M_D13_SG1_2_S241_L001","M_D13_SG1_2_S241_L001",21,1.28338464801238,1.9123033162159,"M_D13_SG1.2",NA,13962,12998,"SG1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",13962,FALSE,13962,0.421538902821174,13958,3.7723614948181,21
"26","M_D13_SG1_3_S242_L001","M_D13_SG1_3_S242_L001",25,1.34057865943226,1.9605490294005,"M_D13_SG1.3",NA,25161,23558,"SG1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",25161,FALSE,25161,0.416474176815177,25151,4.17953038748251,25
"27","M_D13_SG1_4_S243_L001","M_D13_SG1_4_S243_L001",22,1.1684397292187,1.74542318982848,"M_D13_SG1.4",NA,17796,16776,"SG1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",17796,FALSE,17796,0.3780083084751,17796,4.0689479800427,22
"28","M_D13_SG1_5_S244_L001","M_D13_SG1_5_S244_L001",22,1.39545693905443,2.00377298895835,"M_D13_SG1.5",NA,16366,14783,"SG1.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",16366,FALSE,16366,0.451451883987653,16352,4.01388612322812,22
"29","M_D13_SG1_6_S245_L001","M_D13_SG1_6_S245_L001",24,1.44173091517189,2.12089887790372,"M_D13_SG1.6",NA,29384,27157,"SG1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",29384,FALSE,29384,0.453652138111847,29384,4.11688680250866,24
"30","M_D13_SG1_7_S246_L001","M_D13_SG1_7_S246_L001",23,1.23914433000732,1.78450262045769,"M_D13_SG1.7",NA,20666,19088,"SG1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SG",NA,NA,NA,"","early",20666,FALSE,20666,0.395199048275114,20666,4.01392344384239,23
"31","M_D13_SG1_8_S247_L001","M_D13_SG1_8_S247_L001",26,1.26782830491988,1.85608278347385,"M_D13_SG1.8",NA,27823,24451,"SG1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SG",NA,NA,NA,"","early",27823,FALSE,27823,0.389131595741415,27823,4.42105502589253,26
"32","M_D13_SG2_1_S248_L001","M_D13_SG2_1_S248_L001",17,1.00298745793472,1.59025260167967,"M_D13_SG2.1",NA,18245,17574,"SG2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",18245,FALSE,18245,0.354010565437607,18245,3.88282712243378,17
"33","M_D13_SG2_2_S249_L001","M_D13_SG2_2_S249_L001",21,0.85804255952607,1.4490055068138,"M_D13_SG2.2",NA,22164,21521,"SG2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",22164,FALSE,22164,0.281831576898373,22164,3.96793166879595,21
"34","M_D13_SG2_3_S250_L001","M_D13_SG2_3_S250_L001",20,0.873082906144026,1.45217474671929,"M_D13_SG2.3",NA,25354,24502,"SG2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",25354,FALSE,25354,0.29144223395779,25350,3.96793165879595,20
"35","M_D13_SG2_4_S251_L001","M_D13_SG2_4_S251_L001",18,0.91546088480575,1.50999442926758,"M_D13_SG2.4",NA,18306,17703,"SG2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",18306,FALSE,18306,0.316727729678653,18306,3.93710536284866,18
"36","M_D13_SG2_5_S252_L001","M_D13_SG2_5_S252_L001",16,1.18125454184464,2.04796572938637,"M_D13_SG2.5",NA,13094,12760,"SG2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",13094,FALSE,13094,0.426047517386708,13094,3.97807508799016,16
"37","M_D13_SG2_6_S253_L001","M_D13_SG2_6_S253_L001",19,0.771181251280774,1.35864153340824,"M_D13_SG2.6",NA,11982,11604,"SG2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",11982,FALSE,11982,0.26191109978414,11980,4.02649708258717,19
"38","M_D13_SG2_8_S255_L001","M_D13_SG2_8_S255_L001",22,1.05214023228264,1.6573909323229,"M_D13_SG2.8",NA,16851,16197,"SG2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SG",NA,NA,NA,"","early",16851,FALSE,16851,0.340383624022867,16824,4.05731704174054,22
"39","M_D13_SG3_1_S256_L001","M_D13_SG3_1_S256_L001",22,1.02503563138689,1.60812960387419,"M_D13_SG3.1",NA,17195,16138,"SG3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",17195,FALSE,17195,0.331614866781664,17195,3.918675448286,22
"40","M_D13_SG3_2_S257_L001","M_D13_SG3_2_S257_L001",26,1.23847636223927,1.82374586060114,"M_D13_SG3.2",NA,28723,26812,"SG3.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","C","SG",NA,NA,NA,"","early",28723,FALSE,28723,0.380122672175747,28723,4.24065178926284,26
"41","M_D13_SG3_3_S258_L001","M_D13_SG3_3_S258_L001",22,1.11427345617775,1.68965380631006,"M_D13_SG3.3",NA,22766,21322,"SG3.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",22766,FALSE,22766,0.360484682106882,22762,4.01596576647523,22
"42","M_D13_SG3_4_S259_L001","M_D13_SG3_4_S259_L001",28,1.24745065519494,1.84922186125139,"M_D13_SG3.4",NA,36290,33899,"SG3.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","C","SG",NA,NA,NA,"","early",36290,FALSE,36286,0.374361973097909,36286,4.28881198668609,28
"43","M_D13_SG3_5_S260_L001","M_D13_SG3_5_S260_L001",21,1.36050949995931,2.02324150228664,"M_D13_SG3.5",NA,21734,19834,"SG3.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",21734,FALSE,21734,0.446871234418178,21734,3.74755653277476,21
"44","M_D13_SG3_6_S261_L001","M_D13_SG3_6_S261_L001",22,1.30363390685724,1.94805336238745,"M_D13_SG3.6",NA,22536,20835,"SG3.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"N","H","SG",NA,NA,NA,"","early",22536,FALSE,22536,0.421745714116896,22536,3.82759650297054,22
"45","M_D13_SG3_7_S262_L001","M_D13_SG3_7_S262_L001",20,1.16673005047239,1.73713863241712,"M_D13_SG3.7",NA,17221,15978,"SG3.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,NA,"D","H","SG",NA,NA,NA,"","early",17221,FALSE,17221,0.389464058845365,17216,4.01991260958207,20
