"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","mesocosm","(Intercept)","OL1.1",-0.13174120212616,0.361559812165056
"cond.2","cond","mesocosm","(Intercept)","OL1.2",0.439756691774999,0.506458525520582
"cond.3","cond","mesocosm","(Intercept)","OL1.3",-0.563711934018194,0.415309003971569
"cond.4","cond","mesocosm","(Intercept)","OL1.4",-0.0315311625373929,0.380564505544011
"cond.5","cond","mesocosm","(Intercept)","OL1.5",-0.228047823892861,0.418306463773742
"cond.6","cond","mesocosm","(Intercept)","OL1.6",-0.107238479343898,0.401618377338438
"cond.7","cond","mesocosm","(Intercept)","OL1.7",-0.421512776966283,0.433900212810059
"cond.8","cond","mesocosm","(Intercept)","OL1.8",-0.0279004929492745,0.513833250986362
"cond.9","cond","mesocosm","(Intercept)","OL2.1",-0.32685315105948,0.403816500767519
"cond.10","cond","mesocosm","(Intercept)","OL2.2",0.651730149462276,0.445511666829754
"cond.11","cond","mesocosm","(Intercept)","OL2.3",-0.0303104612941655,0.394532006386132
"cond.12","cond","mesocosm","(Intercept)","OL2.4",-0.0325579100070625,0.40168383370947
"cond.13","cond","mesocosm","(Intercept)","OL2.5",-0.511800499285968,0.447520239005147
"cond.14","cond","mesocosm","(Intercept)","OL2.6",-0.288037957404894,0.381094125864366
"cond.15","cond","mesocosm","(Intercept)","OL2.7",-0.170784122485592,0.391674368482281
"cond.16","cond","mesocosm","(Intercept)","OL2.8",-0.282437412365348,0.373840920591646
"cond.17","cond","mesocosm","(Intercept)","OL3.1",0.271209807011471,0.417977834116864
"cond.18","cond","mesocosm","(Intercept)","OL3.2",-0.0558134579577349,0.384607688298384
"cond.19","cond","mesocosm","(Intercept)","OL3.3",0.125844696535332,0.369845467351076
"cond.20","cond","mesocosm","(Intercept)","OL3.4",0.175360460748599,0.399773737478105
"cond.21","cond","mesocosm","(Intercept)","OL3.5",0.00934747435735451,0.456732128327698
"cond.22","cond","mesocosm","(Intercept)","OL3.6",-0.0518412460188323,0.385679556750838
"cond.23","cond","mesocosm","(Intercept)","OL3.7",0.935698456052489,0.413766770823312
"cond.24","cond","mesocosm","(Intercept)","OL3.8",0.863587409197687,0.374492914839408
"cond.25","cond","mesocosm","(Intercept)","SG1.1",0.00699014291156981,0.51952985293231
"cond.26","cond","mesocosm","(Intercept)","SG1.4",-0.125262572870687,0.53534872701567
"cond.27","cond","mesocosm","(Intercept)","SG1.6",-0.133438040147924,0.519029201411129
"cond.28","cond","mesocosm","(Intercept)","SG2.1",0.193658656366655,0.391336600956124
"cond.29","cond","mesocosm","(Intercept)","SG2.2",0.492650017062129,0.389907602376652
"cond.30","cond","mesocosm","(Intercept)","SG2.3",-0.0250648463483141,0.522659643889029
"cond.31","cond","mesocosm","(Intercept)","SG2.4",-0.597539074291356,0.492097379178657
"cond.32","cond","mesocosm","(Intercept)","SG2.5",-0.0773947033881065,0.392524641664707
"cond.33","cond","mesocosm","(Intercept)","SG2.6",-0.198485558185017,0.424173457681852
"cond.34","cond","mesocosm","(Intercept)","SG2.7",-0.252206341202907,0.421015606905928
"cond.35","cond","mesocosm","(Intercept)","SG2.8",-0.167048598195382,0.403834957207273
"cond.36","cond","mesocosm","(Intercept)","SG3.3",0.19730493902607,0.520810628039878
"cond.37","cond","mesocosm","(Intercept)","SG3.5",0.13386640170204,0.432812360876264
