"","sum","sample_name","mesocosm","type","day","dispersal","temperature","infusion","variable","value","rowid"
"1",25797,"M_D13_OL1_1_S216_L001","OL1.1","Microbial Water","12","N","C","OL","Otu0001",117,1
"2",34134,"M_D13_OL1_2_S217_L001","OL1.2","Microbial Water","12","N","C","OL","Otu0001",123,2
"3",15861,"M_D13_OL1_3_S218_L001","OL1.3","Microbial Water","12","D","C","OL","Otu0001",60,3
"4",49290,"M_D13_OL1_4_S219_L001","OL1.4","Microbial Water","12","D","C","OL","Otu0001",128,4
"5",44524,"M_D13_OL1_6_S221_L001","OL1.6","Microbial Water","12","N","H","OL","Otu0001",118,5
"6",32244,"M_D13_OL1_7_S222_L001","OL1.7","Microbial Water","12","D","H","OL","Otu0001",150,6
"7",32456,"M_D13_OL1_8_S223_L001","OL1.8","Microbial Water","12","D","H","OL","Otu0001",106,7
"8",39177,"M_D13_OL2_1_S224_L001","OL2.1","Microbial Water","12","N","C","OL","Otu0001",105,8
"9",31583,"M_D13_OL2_2_S225_L001","OL2.2","Microbial Water","12","N","C","OL","Otu0001",139,9
"10",23414,"M_D13_OL2_3_S226_L001","OL2.3","Microbial Water","12","D","C","OL","Otu0001",118,10
"11",36063,"M_D13_OL2_4_S227_L001","OL2.4","Microbial Water","12","D","C","OL","Otu0001",144,11
"12",21732,"M_D13_OL2_5_S228_L001","OL2.5","Microbial Water","12","N","H","OL","Otu0001",62,12
"13",29456,"M_D13_OL2_6_S229_L001","OL2.6","Microbial Water","12","N","H","OL","Otu0001",65,13
"14",28640,"M_D13_OL2_7_S230_L001","OL2.7","Microbial Water","12","D","H","OL","Otu0001",84,14
"15",30425,"M_D13_OL2_8_S231_L001","OL2.8","Microbial Water","12","D","H","OL","Otu0001",80,15
"16",25545,"M_D13_OL3_1_S232_L001","OL3.1","Microbial Water","12","N","C","OL","Otu0001",126,16
"17",32992,"M_D13_OL3_2_S233_L001","OL3.2","Microbial Water","12","N","C","OL","Otu0001",101,17
"18",34293,"M_D13_OL3_3_S234_L001","OL3.3","Microbial Water","12","D","C","OL","Otu0001",108,18
"19",33392,"M_D13_OL3_4_S235_L001","OL3.4","Microbial Water","12","D","C","OL","Otu0001",103,19
"20",22690,"M_D13_OL3_5_S236_L001","OL3.5","Microbial Water","12","N","H","OL","Otu0001",56,20
"21",40923,"M_D13_OL3_6_S237_L001","OL3.6","Microbial Water","12","N","H","OL","Otu0001",95,21
"22",26840,"M_D13_OL3_7_S238_L001","OL3.7","Microbial Water","12","D","H","OL","Otu0001",56,22
"23",19789,"M_D13_OL3_8_S239_L001","OL3.8","Microbial Water","12","D","H","OL","Otu0001",33,23
"24",16223,"M_D13_SG1_1_S240_L001","SG1.1","Microbial Water","12","N","C","SG","Otu0001",56,24
"25",13958,"M_D13_SG1_2_S241_L001","SG1.2","Microbial Water","12","N","C","SG","Otu0001",38,25
"26",25151,"M_D13_SG1_3_S242_L001","SG1.3","Microbial Water","12","D","C","SG","Otu0001",79,26
"27",17796,"M_D13_SG1_4_S243_L001","SG1.4","Microbial Water","12","D","C","SG","Otu0001",95,27
"28",16352,"M_D13_SG1_5_S244_L001","SG1.5","Microbial Water","12","N","H","SG","Otu0001",23,28
"29",29384,"M_D13_SG1_6_S245_L001","SG1.6","Microbial Water","12","N","H","SG","Otu0001",117,29
