"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","mesocosm","(Intercept)","OL1.1",-0.255579436412785,0.145112739496006
"cond.2","cond","mesocosm","(Intercept)","OL1.2",-0.0179832748283039,0.139141947096498
"cond.3","cond","mesocosm","(Intercept)","OL1.3",-0.121043955611039,0.141541440009155
"cond.4","cond","mesocosm","(Intercept)","OL1.4",-0.0895752580456889,0.139938539232458
"cond.5","cond","mesocosm","(Intercept)","OL1.5",-0.0418558292507696,0.15047708248684
"cond.6","cond","mesocosm","(Intercept)","OL1.6",0.146226979818927,0.138863776279898
"cond.7","cond","mesocosm","(Intercept)","OL1.7",0.121139520929785,0.138869057560135
"cond.8","cond","mesocosm","(Intercept)","OL1.8",0.0192005582161321,0.138388371858119
"cond.9","cond","mesocosm","(Intercept)","OL2.1",-0.0825424745510683,0.139624327394564
"cond.10","cond","mesocosm","(Intercept)","OL2.2",-0.0841666218913364,0.139487645829368
"cond.11","cond","mesocosm","(Intercept)","OL2.3",-0.205077220403433,0.143064875430485
"cond.12","cond","mesocosm","(Intercept)","OL2.4",-0.0489868889388132,0.139814211261018
"cond.13","cond","mesocosm","(Intercept)","OL2.5",-0.00684858000937896,0.139246160156277
"cond.14","cond","mesocosm","(Intercept)","OL2.6",0.123959424030143,0.139208305311746
"cond.15","cond","mesocosm","(Intercept)","OL2.7",-0.0409189379850002,0.139134199841745
"cond.16","cond","mesocosm","(Intercept)","OL2.8",-0.262852434824264,0.145696923184999
"cond.17","cond","mesocosm","(Intercept)","OL3.1",0.174886685208376,0.140662478842862
"cond.18","cond","mesocosm","(Intercept)","OL3.2",0.14883829457669,0.140107508965459
"cond.19","cond","mesocosm","(Intercept)","OL3.3",0.0992648331803311,0.139211118095793
"cond.20","cond","mesocosm","(Intercept)","OL3.4",0.19551931204839,0.140539591722266
"cond.21","cond","mesocosm","(Intercept)","OL3.5",0.0903078737087945,0.139172702045035
"cond.22","cond","mesocosm","(Intercept)","OL3.6",0.161420690185541,0.138702669061088
"cond.23","cond","mesocosm","(Intercept)","OL3.7",-0.121447983301612,0.140441453955938
"cond.24","cond","mesocosm","(Intercept)","OL3.8",0.0874876226635957,0.139049293088121
"cond.25","cond","mesocosm","(Intercept)","SG1.1",0.0109825001642927,0.142810915783424
"cond.26","cond","mesocosm","(Intercept)","SG1.2",0.0186646694508027,0.143012736359449
"cond.27","cond","mesocosm","(Intercept)","SG1.3",0.255686457018267,0.144679247750334
"cond.28","cond","mesocosm","(Intercept)","SG1.4",0.0784125761925864,0.143350579720217
"cond.29","cond","mesocosm","(Intercept)","SG1.5",0.169249847589175,0.144382054369408
"cond.30","cond","mesocosm","(Intercept)","SG1.6",0.204694011199469,0.155170565952374
"cond.31","cond","mesocosm","(Intercept)","SG1.7",0.133722830756981,0.143972633874866
"cond.32","cond","mesocosm","(Intercept)","SG1.8",0.12614721854665,0.143773375272948
"cond.33","cond","mesocosm","(Intercept)","SG2.1",-0.275306845908235,0.150313280687095
"cond.34","cond","mesocosm","(Intercept)","SG2.2",-0.206822091943154,0.146960713075528
"cond.35","cond","mesocosm","(Intercept)","SG2.3",-0.0794343381869936,0.142787210159604
"cond.36","cond","mesocosm","(Intercept)","SG2.4",-0.0952354444417192,0.154583195553523
"cond.37","cond","mesocosm","(Intercept)","SG2.5",-0.401275366186865,0.158647654033873
"cond.38","cond","mesocosm","(Intercept)","SG2.6",-0.131631116796929,0.144422936224125
"cond.39","cond","mesocosm","(Intercept)","SG2.7",-0.144084834538886,0.155300770594108
"cond.40","cond","mesocosm","(Intercept)","SG2.8",-0.278743523071923,0.149277904354569
"cond.41","cond","mesocosm","(Intercept)","SG3.1",0.0622394297813383,0.142525112500822
"cond.42","cond","mesocosm","(Intercept)","SG3.2",0.243536304391948,0.144897922397851
"cond.43","cond","mesocosm","(Intercept)","SG3.3",-0.114238505518552,0.144837588946892
"cond.44","cond","mesocosm","(Intercept)","SG3.4",0.189094579536666,0.143804050834917
"cond.45","cond","mesocosm","(Intercept)","SG3.5",-0.00757582210615369,0.142282710845142
"cond.46","cond","mesocosm","(Intercept)","SG3.6",0.126184509292498,0.14249467853036
"cond.47","cond","mesocosm","(Intercept)","SG3.7",0.105429081910748,0.142574054208468
"cond.48","cond","mesocosm","(Intercept)","SG3.8",0.0252981454323011,0.143107322012424
"cond.49","cond","mesocosm","(Intercept)","SW1.1",-0.0685926018188585,0.14795958943896
"cond.50","cond","mesocosm","(Intercept)","SW1.2",0.0263552437624222,0.147317173137154
"cond.51","cond","mesocosm","(Intercept)","SW1.3",0.112404381612752,0.146700128210901
"cond.52","cond","mesocosm","(Intercept)","SW1.4",-0.0370529727535162,0.146795672935561
"cond.53","cond","mesocosm","(Intercept)","SW1.5",0.117435927186815,0.15567998645386
"cond.54","cond","mesocosm","(Intercept)","SW1.6",-0.0217271332818482,0.145549238704583
"cond.55","cond","mesocosm","(Intercept)","SW1.7",-0.0170133731985357,0.14610329708839
"cond.56","cond","mesocosm","(Intercept)","SW1.8",-0.139875136994014,0.148451677476354
"cond.57","cond","mesocosm","(Intercept)","SW2.1",0.0380741341065413,0.146183707635338
"cond.58","cond","mesocosm","(Intercept)","SW2.2",-0.101949486816422,0.148049087307786
"cond.59","cond","mesocosm","(Intercept)","SW2.3",0.165542856080589,0.146811845031082
"cond.60","cond","mesocosm","(Intercept)","SW2.4",0.0324294689466556,0.146258280750815
"cond.61","cond","mesocosm","(Intercept)","SW2.5",-0.169659860977287,0.149659078617037
"cond.62","cond","mesocosm","(Intercept)","SW2.6",0.0116046375310862,0.145301672236056
"cond.63","cond","mesocosm","(Intercept)","SW2.7",-0.0200137100183171,0.145987558966191
"cond.64","cond","mesocosm","(Intercept)","SW2.8",0.0262564103877754,0.145622167132812
"cond.65","cond","mesocosm","(Intercept)","SW3.1",-0.0517128869549693,0.147663496214384
"cond.66","cond","mesocosm","(Intercept)","SW3.2",0.108779861084294,0.14655781020743
"cond.67","cond","mesocosm","(Intercept)","SW3.3",0.0708333532068865,0.145621776458043
"cond.68","cond","mesocosm","(Intercept)","SW3.4",-0.0518059315958702,0.147474176496099
"cond.69","cond","mesocosm","(Intercept)","SW3.5",0.0439195002189329,0.145148753286316
"cond.70","cond","mesocosm","(Intercept)","SW3.6",-0.0820119270528032,0.146659182662685
