"","x","predicted","std.error","conf.low","conf.high","group"
"1","Otu0001",0.83954940981505,1.57751589238933,0.19201111380637,0.991394863561275,"OL"
"2","Otu0001",0.836667865845838,1.62768801856738,0.17413959962049,0.992028279798833,"SG"
"3","Otu0001",0.742442885284547,1.65942677536519,0.100316552121719,0.986759175092186,"SW"
"4","Otu0002",0.00449369092196605,1.57643963707283,0.000205400792994067,0.0902314530909422,"OL"
"5","Otu0002",0.00530902715213446,1.62656330292224,0.000220139492230539,0.114556752543002,"SG"
"6","Otu0002",0.00951804110220465,1.6605257646065,0.000370764258995402,0.199338815943987,"SW"
"7","Otu0003",0.00174605059870115,1.57814324688568,7.93347330442936e-05,0.0371280623443871,"OL"
"8","Otu0003",0.00142782041886528,1.62824673194699,5.87898649037727e-05,0.0336058249290626,"SG"
"9","Otu0003",0.0387537170235597,1.65972427523298,0.00155611785602353,0.510497413273263,"SW"
"10","Otu0004",0.0969396199462932,1.5774963030126,0.00485182343491567,0.702688823909022,"OL"
"11","Otu0004",0.0666864847696408,1.62796846187755,0.00293093539171912,0.63460427815867,"SG"
"12","Otu0004",0.0246800649542378,1.66231356480608,0.000972328114650011,0.396829065688797,"SW"
"13","Otu0005",8.65202838312369e-05,1.58700897570806,3.85735267520213e-06,0.00193721518116952,"OL"
"14","Otu0005",0.00137983885990739,1.63516473346423,5.60465592429957e-05,0.0329409250686568,"SG"
"15","Otu0005",4.60355838505311e-05,1.67599403446541,1.72386872944552e-06,0.00122797274592636,"SW"
"16","Otu0006",4.77800046825613e-06,1.62719840002968,1.96867664120031e-07,0.000115950250916325,"OL"
"17","Otu0006",4.67320626703913e-06,1.6970465572639,1.67914522432631e-07,0.000130043649093281,"SG"
"18","Otu0006",1.64758483413587e-05,1.74863033926076,5.35078949074174e-07,0.000507074193992049,"SW"
"19","Otu0007",1.75696322504304e-05,1.59449010791163,7.718582067474e-07,0.000399787381334071,"OL"
"20","Otu0007",3.01073766661875e-05,1.65060730545318,1.18491170979177e-06,0.000764457508442682,"SG"
"21","Otu0007",1.2176920596566e-05,1.69633952260513,4.38142874076727e-07,0.00033831607081087,"SW"
"22","Otu0008",7.17219585541362e-07,1.71099807916731,2.50754211434091e-08,2.05138770548e-05,"OL"
"23","Otu0008",9.08904791365101e-07,1.80932318528061,2.62071677573017e-08,3.15212756850878e-05,"SG"
"24","Otu0008",1.3320329019871e-06,1.80801974916364,3.85058144211551e-08,4.60770556848915e-05,"SW"
"25","Otu0009",1.92627971797375e-05,1.60988573974966,8.21088812953727e-07,0.000451719376737994,"OL"
"26","Otu0009",7.01534022985187e-06,1.70352947749379,2.4888845785578e-07,0.000197702806972289,"SG"
"27","Otu0009",6.57180542334586e-06,1.72254837796122,2.2462165119692e-07,0.000192238288856707,"SW"
"28","Otu0010",7.76063944119019e-05,1.59571535780116,3.40137378072209e-06,0.00176782044785408,"OL"
"29","Otu0010",0.00013649176617053,1.64432663667792,5.43888658031143e-06,0.00341455134378381,"SG"
"30","Otu0010",0.00327782749449714,1.67496237244934,0.000123375189752532,0.0805849838316342,"SW"
"31","Otu0020",2.30145936958544e-06,1.6349532604063,9.33962701684053e-08,5.670931753035e-05,"OL"
"32","Otu0020",4.68764500193672e-06,1.69649632215938,1.68615071099687e-07,0.000130304808957147,"SG"
"33","Otu0020",7.19794146349724e-07,1.85522978193863,1.89685512123986e-08,2.73131138115936e-05,"SW"
"34","Otu0022",1.41793150568225e-06,1.66295355307247,5.44687255552943e-08,3.6910375941102e-05,"OL"
"35","Otu0022",5.23304344809622e-06,1.68172022759097,1.93764260904399e-07,0.000141311690219874,"SG"
"36","Otu0022",2.14640218630559e-05,1.71447017690461,7.45350315716131e-07,0.000617748524190705,"SW"
"37","Otu0031",9.31286524966736e-05,1.5909321195928,4.12019813780013e-06,0.0021009429224176,"OL"
"38","Otu0031",8.48848072652471e-05,1.64460802175985,3.38043414108873e-06,0.00212732991768396,"SG"
"39","Otu0031",8.34170566608553e-05,1.68092203523957,3.09375784056414e-06,0.00224449506044399,"SW"
"40","Otu0043",7.35192088633237e-07,1.69305640145743,2.66237306576876e-08,2.03013327270251e-05,"OL"
"41","Otu0043",7.18713762667668e-07,1.81080412673531,2.06631723093559e-08,2.49979666258182e-05,"SG"
"42","Otu0043",5.78057684833034e-06,1.74761474659702,1.88105389412275e-07,0.00017761061445355,"SW"
"43","Otu0052",1.03698124035799e-06,1.67888358159429,3.86102877112066e-08,2.78501507528261e-05,"OL"
"44","Otu0052",8.68544775492244e-07,1.80576015939507,2.52189351075029e-08,2.99119986807897e-05,"SG"
"45","Otu0052",3.38383305344157e-06,1.76244994248009,1.06957253055604e-07,0.000107044416086923,"SW"
"46","Otu0088",9.97612391509337e-07,1.68971557160586,3.63641759343414e-08,2.73677368009469e-05,"OL"
"47","Otu0088",7.11935387693625e-07,1.82378020953548,1.99542933410498e-08,2.54000392340514e-05,"SG"
"48","Otu0088",4.82519178717912e-07,1.90232462736134,1.15945293953164e-08,2.00801858108436e-05,"SW"
"49","Otu0128",1.24202352493842e-06,1.67768297036199,4.63536575190414e-08,3.32783849948796e-05,"OL"
"50","Otu0128",3.57647205233167e-07,1.94999182833004,7.82742534322722e-09,1.63412000838465e-05,"SG"
"51","Otu0128",1.78091715622148e-05,1.72779510063523,6.02489294544628e-07,0.00052616836827657,"SW"
"52","Otu0137",6.15348799540234e-06,1.61379307998115,2.60291961983326e-07,0.000145453446416683,"OL"
"53","Otu0137",3.35773421152077e-06,1.69969349142677,1.20023420364137e-07,9.39266219010656e-05,"SG"
"54","Otu0137",2.63995438536575e-06,1.75060821310126,8.54037852477276e-08,8.15985690379265e-05,"SW"
"55","Otu0152",6.58889171497199e-06,1.60896323722354,2.81360494784949e-07,0.000154276655555482,"OL"
"56","Otu0152",6.49517227217786e-06,1.68235331816983,2.40199251785792e-07,0.000175605843924401,"SG"
"57","Otu0152",5.16619679798665e-06,1.72894161315527,1.74379466476949e-07,0.000153032788700452,"SW"
"58","Otu0208",2.16958523272245e-06,1.65026670707703,8.5441340517047e-08,5.50887985460678e-05,"OL"
"59","Otu0208",4.01102996118651e-07,1.89341301046651,9.80798966463147e-09,1.64030660200241e-05,"SG"
"60","Otu0208",6.6682197592041e-07,1.86087194218062,1.73793335021756e-08,2.55844538924597e-05,"SW"
"61","Otu0209",1.28411355540155e-06,1.66837624179397,4.88067102170943e-08,3.3784208394735e-05,"OL"
"62","Otu0209",1.03222973851746e-06,1.79090017656622,3.08574339301418e-08,3.45285875705282e-05,"SG"
"63","Otu0209",6.15029397710813e-07,1.90729429867412,1.46353895120548e-08,2.58450137803358e-05,"SW"
"64","Otu0243",7.18961966052958e-07,1.69758549408228,2.58058890079414e-08,2.00301832137032e-05,"OL"
"65","Otu0243",1.03147267912903e-06,1.77330087108701,3.19169751330144e-08,3.33334402626724e-05,"SG"
"66","Otu0243",2.32038007766562e-07,2.0394460835045,4.26166760614885e-09,1.26337824901955e-05,"SW"
"67","Otu0252",1.23774590182681e-06,1.66558153945202,4.73027551895981e-08,3.23864649048354e-05,"OL"
"68","Otu0252",7.9250460376225e-07,1.82147877135254,2.23129291871885e-08,2.81472165721027e-05,"SG"
"69","Otu0252",5.35754253883883e-07,1.90614147388992,1.27777766030314e-08,2.24629437309657e-05,"SW"
"70","Otu0261",1.12646449694762e-07,2.02296967131187,2.13679397475055e-09,5.93840597487723e-06,"OL"
"71","Otu0261",1.40354777013246e-07,2.16431387441326,2.01818023557909e-09,9.76091049177494e-06,"SG"
"72","Otu0261",2.06175949417178e-06,1.83423507901616,5.66154735264808e-08,7.50775378194576e-05,"SW"
"73","Otu0396",1.62922291996384e-06,1.65977312379157,6.29766778512546e-08,4.21467759508023e-05,"OL"
"74","Otu0396",1.71958845252433e-07,2.12117300394451,2.69078413989061e-09,1.09891868186519e-05,"SG"
"75","Otu0396",2.24823807582374e-07,2.10681640298877,3.61840372027866e-09,1.39688837510056e-05,"SW"
"76","Otu0406",4.34698101412788e-06,1.61898030912079,1.82016607118244e-07,0.000103806149988957,"OL"
"77","Otu0406",3.51317583493843e-06,1.69995115559094,1.25516352750901e-07,9.83240493091478e-05,"SG"
"78","Otu0406",2.42249071165946e-06,1.74893699940081,7.86258340862046e-08,7.46326103484967e-05,"SW"
"79","Otu0442",7.10496872292146e-07,1.70956056878921,2.49104672537353e-08,2.02644244097649e-05,"OL"
"80","Otu0442",3.74236629600808e-07,1.91724815397581,8.73337009199243e-09,1.60362965417316e-05,"SG"
"81","Otu0442",6.67114083183485e-07,1.85598532288985,1.7554271865059e-08,2.53516925575099e-05,"SW"
"82","Otu0443",6.26702772243436e-07,1.72094877321196,2.14875859620082e-08,1.82779801544114e-05,"OL"
"83","Otu0443",6.78375632395539e-07,1.80569964806379,1.9699545140821e-08,2.33601009800285e-05,"SG"
"84","Otu0443",1.91707923094217e-07,2.0524358340797,3.43244506029882e-09,1.07071045828017e-05,"SW"
"85","Otu0470",4.9828944769343e-07,1.7390785801095,1.64882866193798e-08,1.50585008526849e-05,"OL"
