"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","mesocosm","(Intercept)","OL1.1",-0.131741202125184,0.361559812167188
"cond.2","cond","mesocosm","(Intercept)","OL1.2",0.439756691775366,0.506458525552145
"cond.3","cond","mesocosm","(Intercept)","OL1.3",-0.563711934017963,0.415309003996571
"cond.4","cond","mesocosm","(Intercept)","OL1.4",-0.0315311625369184,0.380564505544318
"cond.5","cond","mesocosm","(Intercept)","OL1.5",-0.22804782389283,0.418306463786128
"cond.6","cond","mesocosm","(Intercept)","OL1.6",-0.107238479343207,0.401618377337057
"cond.7","cond","mesocosm","(Intercept)","OL1.7",-0.421512776965952,0.433900212823489
"cond.8","cond","mesocosm","(Intercept)","OL1.8",-0.0279004929493266,0.513833250986383
"cond.9","cond","mesocosm","(Intercept)","OL2.1",-0.326853151058723,0.403816500774743
"cond.10","cond","mesocosm","(Intercept)","OL2.2",0.651730149462877,0.445511666882375
"cond.11","cond","mesocosm","(Intercept)","OL2.3",-0.0303104612937021,0.394532006386449
"cond.12","cond","mesocosm","(Intercept)","OL2.4",-0.0325579100067837,0.401683833709331
"cond.13","cond","mesocosm","(Intercept)","OL2.5",-0.511800499285737,0.447520239047078
"cond.14","cond","mesocosm","(Intercept)","OL2.6",-0.2880379574044,0.381094125871663
"cond.15","cond","mesocosm","(Intercept)","OL2.7",-0.170784122485442,0.391674368483207
"cond.16","cond","mesocosm","(Intercept)","OL2.8",-0.282437412365438,0.373840920609539
"cond.17","cond","mesocosm","(Intercept)","OL3.1",0.271209807012303,0.417977834127881
"cond.18","cond","mesocosm","(Intercept)","OL3.2",-0.05581345795716,0.384607688299133
"cond.19","cond","mesocosm","(Intercept)","OL3.3",0.125844696535814,0.36984546735615
"cond.20","cond","mesocosm","(Intercept)","OL3.4",0.175360460748852,0.399773737478897
"cond.21","cond","mesocosm","(Intercept)","OL3.5",0.00934747435789872,0.456732128327872
"cond.22","cond","mesocosm","(Intercept)","OL3.6",-0.051841246018495,0.385679556752873
"cond.23","cond","mesocosm","(Intercept)","OL3.7",0.935698456052904,0.413766770915711
"cond.24","cond","mesocosm","(Intercept)","OL3.8",0.863587409198239,0.374492914904868
"cond.25","cond","mesocosm","(Intercept)","SG1.1",0.00699014291133425,0.519529852932265
"cond.26","cond","mesocosm","(Intercept)","SG1.4",-0.125262572871172,0.535348727016629
"cond.27","cond","mesocosm","(Intercept)","SG1.6",-0.133438040148185,0.519029201414493
"cond.28","cond","mesocosm","(Intercept)","SG2.1",0.193658656366803,0.391336600971977
"cond.29","cond","mesocosm","(Intercept)","SG2.2",0.492650017062268,0.389907602410109
"cond.30","cond","mesocosm","(Intercept)","SG2.3",-0.0250648463488728,0.522659643889128
"cond.31","cond","mesocosm","(Intercept)","SG2.4",-0.597539074292013,0.492097379220733
"cond.32","cond","mesocosm","(Intercept)","SG2.5",-0.0773947033888859,0.39252464166717
"cond.33","cond","mesocosm","(Intercept)","SG2.6",-0.198485558185711,0.424173457688547
"cond.34","cond","mesocosm","(Intercept)","SG2.7",-0.252206341203742,0.421015606911801
"cond.35","cond","mesocosm","(Intercept)","SG2.8",-0.16704859819605,0.403834957207763
"cond.36","cond","mesocosm","(Intercept)","SG3.3",0.197304939025511,0.520810628048049
"cond.37","cond","mesocosm","(Intercept)","SG3.5",0.133866401701764,0.432812360877728
"cond.38","cond","mesocosm","(Intercept)","SG3.6",-0.167870886181783,0.47348426296038
"cond.39","cond","mesocosm","(Intercept)","SG3.8",1.37048289212693,0.563351835715243
"cond.40","cond","mesocosm","(Intercept)","SW1.2",-0.0444690049034362,0.424560420047959
"cond.41","cond","mesocosm","(Intercept)","SW1.3",-0.22002723709353,0.513536807547796
"cond.42","cond","mesocosm","(Intercept)","SW1.4",0.0789505871341303,0.37768320407959
"cond.43","cond","mesocosm","(Intercept)","SW1.5",0.777690186339081,0.518590052382314
"cond.44","cond","mesocosm","(Intercept)","SW1.8",0.0506600675747773,0.457831634647479
"cond.45","cond","mesocosm","(Intercept)","SW2.1",0.081631385365196,0.365919262071869
"cond.46","cond","mesocosm","(Intercept)","SW2.2",0.130909620919955,0.455528952973085
"cond.47","cond","mesocosm","(Intercept)","SW2.3",-0.052792619101032,0.401202595520425
"cond.48","cond","mesocosm","(Intercept)","SW2.4",0.269195330656651,0.383803386723984
"cond.49","cond","mesocosm","(Intercept)","SW2.5",-0.0867702925795282,0.510558689359961
"cond.50","cond","mesocosm","(Intercept)","SW2.6",-0.112274373519211,0.515175872065091
"cond.51","cond","mesocosm","(Intercept)","SW2.8",0.127686627596629,0.512383851809999
"cond.52","cond","mesocosm","(Intercept)","SW3.1",0.00555290243827522,0.517391252975329
"cond.53","cond","mesocosm","(Intercept)","SW3.2",-0.141654450909901,0.40240109598157
"cond.54","cond","mesocosm","(Intercept)","SW3.3",-0.421481121499058,0.464159663048584
"cond.55","cond","mesocosm","(Intercept)","SW3.4",-0.0176163947082118,0.433239090727749
"cond.56","cond","mesocosm","(Intercept)","SW3.5",0.17028423979182,0.521683030896532
"cond.57","cond","mesocosm","(Intercept)","SW3.6",0.0796573144741846,0.47230314346333
"cond.58","cond","mesocosm","(Intercept)","SW3.8",-0.314584692411839,0.463618910553109
"cond.59","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0001",0.345950515684505,0.818813705702935
"cond.60","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0002",-0.0483480179076987,0.81780571322345
"cond.61","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0003",-0.171669013563673,0.818914009162724
"cond.62","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0004",0.0108651135968411,0.817552072515407
"cond.63","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0005",-0.750400219857786,0.857343821924386
"cond.64","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0006",0.0132482371582603,0.914334853870191
"cond.65","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0007",0.288549970053463,0.851512822260548
"cond.66","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0008",0.537407349124344,0.964489803172297
"cond.67","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0009",-0.483649681728121,0.887130278185286
"cond.68","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0010",-0.60087485832999,0.863183349841089
"cond.69","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0020",-0.421679944637954,0.974835149178935
"cond.70","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0022",-0.303885489800026,0.995220886383602
"cond.71","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0031",-0.135120747782818,0.836638431375181
"cond.72","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0043",-0.227811995529369,1.01222438846295
"cond.73","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0052",-0.263734938531736,1.00362497861209
"cond.74","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0088",-0.261426372124959,1.00458342383921
"cond.75","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0128",-0.28249973820452,1.00009833407257
"cond.76","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0137",0.78076595210191,0.874605436252376
"cond.77","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0152",0.107638294553654,0.884848505507091
"cond.78","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0208",0.154212360427078,0.927134723444112
"cond.79","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0209",-0.26860971477334,1.00234579170471
"cond.80","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0243",1.03943174999791,0.945118575135881
"cond.81","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0252",-0.278340150324055,1.00025163644909
"cond.82","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0261",-0.0545917074444151,1.06699860274322
"cond.83","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0396",-0.310266174142944,0.994395369586086
"cond.84","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0406",0.173161122068411,0.895355613543533
"cond.85","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0442",0.799862676499166,0.94852921318223
"cond.86","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0443",-0.188204297048817,1.02223059891142
"cond.87","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0470",0.415706723424734,0.97170437927068
"cond.88","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0001",-0.214878093296331,1.02554462899638
"cond.89","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0002",-0.141796510901894,1.02490333729245
"cond.90","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0003",-0.1910809153291,1.0254704019903
"cond.91","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0004",-0.0605642124407709,1.02441250439905
"cond.92","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0005",0.922520028438732,1.04857479170396
"cond.93","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0006",0.993774538835847,1.05347793058698
"cond.94","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0007",0.273789691067507,1.02761871311547
