"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","mesocosm","(Intercept)","OL1.1",-0.255579436412823,0.145112739510034
"cond.2","cond","mesocosm","(Intercept)","OL1.2",-0.0179832748283158,0.139141947095793
"cond.3","cond","mesocosm","(Intercept)","OL1.3",-0.121043955611062,0.141541440011867
"cond.4","cond","mesocosm","(Intercept)","OL1.4",-0.0895752580457035,0.139938539233579
"cond.5","cond","mesocosm","(Intercept)","OL1.5",-0.0418558292507824,0.150477082486815
"cond.6","cond","mesocosm","(Intercept)","OL1.6",0.146226979818941,0.138863776283545
"cond.7","cond","mesocosm","(Intercept)","OL1.7",0.121139520929791,0.138869057562613
"cond.8","cond","mesocosm","(Intercept)","OL1.8",0.0192005582161341,0.138388371857291
"cond.9","cond","mesocosm","(Intercept)","OL2.1",-0.0825424745510878,0.139624327395295
"cond.10","cond","mesocosm","(Intercept)","OL2.2",-0.0841666218913496,0.139487645830176
"cond.11","cond","mesocosm","(Intercept)","OL2.3",-0.205077220403458,0.143064875439461
"cond.12","cond","mesocosm","(Intercept)","OL2.4",-0.0489868889388295,0.139814211260846
"cond.13","cond","mesocosm","(Intercept)","OL2.5",-0.0068485800093862,0.139246160155503
"cond.14","cond","mesocosm","(Intercept)","OL2.6",0.123959424030146,0.139208305314397
"cond.15","cond","mesocosm","(Intercept)","OL2.7",-0.0409189379850139,0.139134199841241
"cond.16","cond","mesocosm","(Intercept)","OL2.8",-0.262852434824294,0.145696923199688
"cond.17","cond","mesocosm","(Intercept)","OL3.1",0.174886685208382,0.140662478848696
"cond.18","cond","mesocosm","(Intercept)","OL3.2",0.148838294576696,0.14010750896946
"cond.19","cond","mesocosm","(Intercept)","OL3.3",0.0992648331803339,0.139211118097035
"cond.20","cond","mesocosm","(Intercept)","OL3.4",0.195519312048402,0.140539591729232
"cond.21","cond","mesocosm","(Intercept)","OL3.5",0.0903078737087959,0.13917270204624
"cond.22","cond","mesocosm","(Intercept)","OL3.6",0.16142069018556,0.138702669065794
"cond.23","cond","mesocosm","(Intercept)","OL3.7",-0.121447983301619,0.140441453958233
